cdmall-app  |
cdmall-app  | 04:01:42.093 WARN  16910 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.imageboard.entity.IBAttachmentId
cdmall-app  | 04:01:42.096 WARN  16913 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.product.entity.ReviewId
cdmall-app  | 04:01:42.096 WARN  16913 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.product.entity.ReviewId
cdmall-app  | 04:01:42.096 WARN  16913 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.product.entity.ProductAttachmentId
cdmall-app  | 04:01:42.097 WARN  16914 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.product.entity.ProductAttachmentId
cdmall-app  | 04:01:42.099 WARN  16916 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.board.entity.AttachmentId
cdmall-app  | 04:01:42.099 WARN  16916 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.board.entity.AttachmentId
cdmall-app  | 04:01:42.099 WARN  16916 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.board.entity.BoardMemberId
cdmall-app  | 04:01:42.100 WARN  16917 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.board.entity.BoardMemberId
cdmall-app  | 04:01:42.102 WARN  16919 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.product.entity.ReviewAttachmentId
cdmall-app  | 04:01:42.102 WARN  16919 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.product.entity.ReviewAttachmentId
cdmall-app  | 04:01:42.105 WARN  16922 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.questionboard.entity.QSAttachmentId
cdmall-app  | 04:01:42.105 WARN  16922 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.questionboard.entity.QSAttachmentId
cdmall-app  | 04:01:42.106 WARN  16923 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.product.entity.ProductMemberId
cdmall-app  | 04:01:42.106 WARN  16923 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.product.entity.ProductMemberId
cdmall-app  | 04:01:42.107 WARN  16924 --- [ main ] org.hibernate.mapping.RootClass : HHH000038: Composite-id class does not override equals(): com.demo.cdmall1.domain.member.entity.AddressId
cdmall-app  | 04:01:42.107 WARN  16924 --- [ main ] org.hibernate.mapping.RootClass : HHH000039: Composite-id class does not override hashCode(): com.demo.cdmall1.domain.member.entity.AddressId
cdmall-app  | 04:01:45.986 INFO  20803 --- [ main ] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
cdmall-app  | 04:02:02.264 INFO  37081 --- [ main ] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
cdmall-app  | 04:02:04.233 INFO  39050 --- [ main ] o.s.d.j.r.query.QueryEnhancerFactory : Hibernate is in classpath; If applicable, HQL parser will be used.
cdmall-app  | 04:02:06.160 WARN  40977 --- [ main ] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'cartService' defined in URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/com/demo/cdmall1/domain/order/service/CartService.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'productRepository' defined in com.demo.cdmall1.domain.product.entity.ProductRepository defined in @EnableJpaRepositories declared on JpaRepositoriesRegistrar.EnableJpaRepositoriesConfiguration: Could not create query for public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc(); Reason: Validation failed for query for method public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc()
cdmall-app  | 04:02:06.165 INFO  40982 --- [ main ] o.s.o.j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
cdmall-app  | 04:02:06.171 INFO  40988 --- [ main ] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
cdmall-app  | 04:02:06.279 INFO  41096 --- [ main ] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
cdmall-app  | 04:02:06.303 INFO  41120 --- [ main ] o.apache.catalina.core.StandardService : Stopping service [Tomcat]
cdmall-app  | 04:02:06.367 INFO  41184 --- [ main ] o.s.b.a.l.ConditionEvaluationReportLogger :
cdmall-app  |
cdmall-app  | Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
cdmall-app  | 04:02:06.420 ERROR 41237 --- [ main ] o.springframework.boot.SpringApplication : Application run failed
cdmall-app  | org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'cartService' defined in URL [jar:nested:/app/app.jar/!BOOT-INF/classes/!/com/demo/cdmall1/domain/order/service/CartService.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'productRepository' defined in com.demo.cdmall1.domain.product.entity.ProductRepository defined in @EnableJpaRepositories declared on JpaRepositoriesRegistrar.EnableJpaRepositoriesConfiguration: Could not create query for public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc(); Reason: Validation failed for query for method public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc()
cdmall-app  |   at org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:795)
cdmall-app  |   at org.springframework.beans.factory.support.ConstructorResolver.autowireConstructor(ConstructorResolver.java:237)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.autowireConstructor(AbstractAutowireCapableBeanFactory.java:1375)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBeanInstance(AbstractAutowireCapableBeanFactory.java:1212)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:562)
